3532,台勝科,4,209,571,3,055,393,870,642,93.70,95.50,92.00,92.00,<p style= color:red>+</p>,0.40,92.00,22,92.10,4,80.00,
3536,誠創,1,873,934,408,41,269,361,22.60,22.60,21.80,22.00,<p style= color:green>-</p>,0.70,21.90,1,22.00,4,56.41,
3545,敦泰,2,790,974,1,661,90,237,513,32.00,32.55,32.00,32.05,<p style= color:red>+</p>,0.25,32.05,97,32.15,5,31.12,
3559,全智科,65,990,44,1,561,562,23.65,23.70,23.65,23.70,<p style= color:red>+</p>,0.05,23.65,5,831,23.70,23,18.52,
3579,尚志,67,000,38,775,450,11.65,11.70,11.45,11.50,<p style= color:green>-</p>,0.20,11.50,3,11.60,5,,
3583,辛耘,41,000,26,2,302,700,56.10,56.30,56.00,56.00, ,0.00,56.00,37,56.30,10,20.00,
3588,通嘉,84,240,56,2,446,531,29.30,29.30,28.90,28.90,<p style= color:green>-</p>,0.40,28.90,4,29.00,5,16.90,
3661,世芯-KY,1,198,000,748,73,831,500,61.00,62.50,61.00,61.90,<p style= color:red>+</p>,0.70,61.80,3,61.90,10,,
3686,達能,712,024,231,4,661,877,6.59,6.59,6.52,6.53,<p style= color:red>+</p>,0.01,6.53,13,6.56,10,,
4919,新唐,1,541,430,1,122,66,753,190,43.70,43.70,42.90,42.90,<p style= color:green>-</p>,0.80,42.90,11,43.00,2,14.25,
4952,凌通,221,000,145,8,609,600,38.80,39.10,38.80,38.95,<p style= color:red>+</p>,0.15,38.95,21,39.10,11,10.91,
4968,立積,1,980,240,1,570,242,781,780,119.50,125.00,118.00,122.50,<p style= color:red>+</p>,3.00,122.00,134,122.50,13,88.77,
5269,祥碩,170,000,157,53,752,500,315.50,318.00,315.00,315.00,<p style= color:green>-</p>,0.50,315.00,2,315.50,3,44.62,
5285,界霖,1,036,900,556,46,734,767,44.80,45.70,44.50,45.10,<p style= color:red>+</p>,0.40,45.10,49,45.15,5,23.99,
5305,敦南,763,372,391,22,179,747,29.30,29.30,28.85,29.00, ,0.00,28.90,6,29.00,192,18.24,
5471,松翰,257,612,178,8,567,306,33.05,33.45,33.05,33.30,<p style= color:red>+</p>,0.25,33.25,14,33.30,11,19.70,
6202,盛群,297,450,257,16,838,413,56.50,56.90,56.30,56.70,<p style= color:red>+</p>,0.50,56.40,14,56.70,8,16.02,
6239,力成,2,847,327,1,758,263,963,684,91.60,93.30,91.60,92.40,<p style= color:green>-</p>,1.50,92.40,73,92.50,181,14.22,
6243,迅杰,310,009,189,4,167,265,13.15,13.60,13.15,13.50,<p style= color:red>+</p>,0.55,13.30,9,13.50,37,,
6257,矽格,331,630,161,8,857,984,26.80,26.90,26.65,26.65,<p style= color:green>-</p>,0.15,26.65,81,26.75,5,11.79,
6271,同欣電,1,043,634,870,121,134,044,114.50,117.50,113.50,116.50,<p style= color:red>+</p>,3.00,116.50,20,117.00,93,21.69,
6415,矽力-KY,257,638,258,142,801,176,553.00,558.00,550.00,556.00,<p style= color:red>+</p>,11.00,555.00,3,556.00,1,29.97,
6451,訊芯-KY,2,963,401,2,088,341,455,714,116.00,117.50,113.50,114.00,<p style= color:green>-</p>,1.50,114.00,33,114.50,10,14.98,
